-1,name,club_logo,flag,photo,acceleration,sprint_speed,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,agility,balance,reactions,ball_control,dribbling,composure,interceptions,heading_accuracy,marking,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,position
3454,F. Meza,https://cdn.sofifa.org/18/teams/1970.png,https://cdn.sofifa.org/flags/56@3x.png,https://cdn.sofifa.org/18/players/214136.png,67,68,37,31,35,23,25,33,42,35,40,58,67,30,60,62,66,59,39,63,78,71,72,72,73,70,63,72,72,cb
3455,Philipe Sampaio,https://cdn.sofifa.org/18/teams/110109.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/224376.png,38,45,28,32,48,35,34,42,30,34,30,62,54,32,46,41,71,45,41,62,74,70,69,74,68,69,70,90,68,cb
3456,Torrejon,https://cdn.sofifa.org/18/teams/1831.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/173179.png,42,53,29,23,59,31,49,46,51,42,52,60,58,43,51,44,70,52,48,76,72,71,72,75,72,57,58,82,77,cb
3457,Manuel da Costa,https://cdn.sofifa.org/18/teams/101014.png,https://cdn.sofifa.org/flags/129@3x.png,https://cdn.sofifa.org/18/players/177533.png,53,61,30,28,77,69,21,44,38,33,36,52,58,34,51,43,57,60,50,52,69,72,69,73,69,80,66,84,84,cb
3458,A. Nukan,https://cdn.sofifa.org/18/teams/327.png,https://cdn.sofifa.org/flags/48@3x.png,https://cdn.sofifa.org/18/players/200065.png,59,54,37,29,68,24,29,41,48,39,39,64,68,37,54,33,69,59,57,54,65,75,64,75,69,65,64,89,76,cb
3459,G. Achilier,https://cdn.sofifa.org/18/teams/1028.png,https://cdn.sofifa.org/flags/57@3x.png,https://cdn.sofifa.org/18/players/204406.png,60,53,28,18,16,17,21,35,32,49,30,51,37,36,40,52,65,53,43,54,74,71,72,74,70,76,68,81,68,cb
3460,M. Kosanovic,https://cdn.sofifa.org/18/teams/101026.png,https://cdn.sofifa.org/flags/51@3x.png,https://cdn.sofifa.org/18/players/200073.png,50,52,27,22,82,71,68,70,57,75,75,67,77,77,49,46,71,64,57,76,73,74,71,73,70,35,66,83,69,cb
3461,S. Bamba,https://cdn.sofifa.org/18/teams/1961.png,https://cdn.sofifa.org/flags/108@3x.png,https://cdn.sofifa.org/18/players/172425.png,62,65,24,27,47,15,16,19,38,27,16,57,53,34,34,35,61,54,54,64,75,74,66,74,70,57,56,85,76,cb
3462,C. Bovo,https://cdn.sofifa.org/18/teams/200.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/105866.png,38,55,33,23,84,80,30,70,34,35,78,66,70,75,59,55,69,63,58,73,76,68,75,74,68,68,56,74,70,cb
3463,M. Akanji,https://cdn.sofifa.org/18/teams/896.png,https://cdn.sofifa.org/flags/47@3x.png,https://cdn.sofifa.org/18/players/229237.png,59,54,28,39,38,30,31,40,32,24,27,71,65,26,69,58,68,74,51,70,67,75,74,76,73,72,77,76,45,cb
3464,L. Jimenez,https://cdn.sofifa.org/18/teams/101114.png,https://cdn.sofifa.org/flags/56@3x.png,https://cdn.sofifa.org/18/players/209756.png,69,75,43,47,65,47,40,60,44,40,42,61,53,40,65,56,73,55,55,60,80,72,68,71,64,73,79,79,77,cb
3465,N. Curuksu,https://cdn.sofifa.org/18/teams/112958.png,https://cdn.sofifa.org/flags/48@3x.png,https://cdn.sofifa.org/18/players/223324.png,40,50,54,23,40,31,24,36,33,21,27,48,43,28,30,62,70,40,42,65,74,78,75,79,75,36,66,86,61,cb
3466,Claiton,https://cdn.sofifa.org/18/teams/111434.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/199517.png,54,53,21,14,40,29,26,18,28,18,25,55,47,12,55,54,70,58,45,71,77,70,73,73,70,79,55,81,67,cb
3467,Nuno Henrique,https://cdn.sofifa.org/18/teams/1898.png,https://cdn.sofifa.org/flags/38@3x.png,https://cdn.sofifa.org/18/players/203619.png,51,54,41,42,39,35,31,31,47,35,37,59,40,30,58,58,63,60,53,64,75,68,73,77,67,82,46,75,74,cb
3468,J. Mattheij,https://cdn.sofifa.org/18/teams/1971.png,https://cdn.sofifa.org/flags/34@3x.png,https://cdn.sofifa.org/18/players/203875.png,36,36,30,38,48,45,33,36,40,36,34,58,65,36,54,58,59,62,42,70,72,78,75,69,67,78,70,82,70,cb
3469,Carlos Hernandez,https://cdn.sofifa.org/18/teams/110827.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/211556.png,58,55,37,36,58,37,27,39,42,33,24,64,60,24,50,52,62,59,52,65,69,81,70,72,73,84,74,79,70,cb
3470,F. Barba,https://cdn.sofifa.org/18/teams/459.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/211557.png,57,58,27,21,46,31,32,35,29,35,29,52,54,30,51,53,68,53,42,67,72,66,76,76,74,62,55,74,76,cb
3471,J. Shackell,https://cdn.sofifa.org/18/teams/91.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/139368.png,53,53,50,32,61,34,37,31,45,42,21,65,62,42,56,49,68,61,58,72,72,73,74,70,70,75,62,82,70,cb
3472,Bruno Uvini,https://cdn.sofifa.org/18/teams/112139.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/200818.png,32,54,33,37,63,36,25,43,52,19,39,61,53,42,30,40,64,56,46,45,75,67,72,72,68,62,58,87,71,cb
3473,M. Fenger,https://cdn.sofifa.org/18/teams/708.png,https://cdn.sofifa.org/flags/13@3x.png,https://cdn.sofifa.org/18/players/192363.png,68,71,41,32,54,27,34,33,44,44,35,64,65,41,65,69,64,62,45,65,69,65,73,74,72,79,73,79,73,cb
3474,N. Onuoha,https://cdn.sofifa.org/18/teams/15.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/164462.png,73,80,44,32,40,30,53,53,57,57,51,52,57,46,47,51,64,58,60,60,72,69,71,71,70,70,66,87,79,cb
3475,B. Ecuele Manga,https://cdn.sofifa.org/18/teams/1961.png,https://cdn.sofifa.org/flags/115@3x.png,https://cdn.sofifa.org/18/players/188270.png,61,63,23,23,43,29,26,46,51,54,25,61,59,33,32,38,63,59,33,67,77,72,66,72,73,60,59,83,78,cb
3476,M. Morrison,https://cdn.sofifa.org/18/teams/88.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/188782.png,53,50,34,23,47,33,32,36,54,31,37,61,60,38,58,64,70,53,29,57,66,72,75,72,72,73,75,80,75,cb
3477,F. Aguilar,https://cdn.sofifa.org/18/teams/101100.png,https://cdn.sofifa.org/flags/56@3x.png,https://cdn.sofifa.org/18/players/214384.png,46,50,43,33,59,43,22,39,51,33,34,56,59,29,38,35,66,61,42,61,82,75,71,76,62,33,79,91,58,cb
3478,S. Barreiro,https://cdn.sofifa.org/18/teams/101114.png,https://cdn.sofifa.org/flags/56@3x.png,https://cdn.sofifa.org/18/players/214129.png,71,68,33,28,49,30,18,37,29,33,31,50,62,28,68,68,71,50,48,64,70,75,73,78,75,78,77,72,58,cb
3479,A. Mina,https://cdn.sofifa.org/18/teams/113259.png,https://cdn.sofifa.org/flags/57@3x.png,https://cdn.sofifa.org/18/players/225680.png,53,55,38,30,52,33,30,45,44,43,41,64,57,27,40,53,66,61,47,55,69,77,66,73,65,67,58,91,66,cb
3480,T. Burlak,https://cdn.sofifa.org/18/teams/110227.png,https://cdn.sofifa.org/flags/40@3x.png,https://cdn.sofifa.org/18/players/201141.png,62,67,25,39,70,43,26,60,59,47,50,58,54,59,61,58,70,51,44,70,72,75,73,76,70,73,68,72,63,cb
3481,R. Sigurðsson,https://cdn.sofifa.org/18/teams/110227.png,https://cdn.sofifa.org/flags/24@3x.png,https://cdn.sofifa.org/18/players/179897.png,66,64,29,26,59,52,25,65,55,40,32,66,62,42,56,60,68,52,30,68,74,74,69,71,71,60,78,81,80,cb
3482,J. de Wijs,https://cdn.sofifa.org/18/teams/1971.png,https://cdn.sofifa.org/flags/34@3x.png,https://cdn.sofifa.org/18/players/224186.png,41,45,26,33,76,65,25,49,29,37,74,55,48,66,34,55,64,58,40,68,66,71,72,74,69,68,67,87,78,cb
3483,B. Bianchi,https://cdn.sofifa.org/18/teams/110396.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/215015.png,59,65,46,26,52,35,26,21,40,46,24,68,64,32,62,58,64,60,57,57,75,68,73,75,69,69,65,77,66,cb
3484,P. Da Silva,,https://cdn.sofifa.org/flags/58@3x.png,https://cdn.sofifa.org/18/players/140222.png,34,32,26,29,66,56,59,63,55,55,48,62,60,56,60,60,67,57,52,70,70,80,72,70,73,79,55,81,71,cb
3485,S. Šimic,https://cdn.sofifa.org/18/teams/110734.png,https://cdn.sofifa.org/flags/12@3x.png,https://cdn.sofifa.org/18/players/219591.png,43,64,20,20,57,21,12,21,38,43,27,62,58,29,51,51,69,58,54,66,70,68,72,72,68,71,66,82,76,cb
3486,A. Escavar,https://cdn.sofifa.org/18/teams/112116.png,https://cdn.sofifa.org/flags/55@3x.png,https://cdn.sofifa.org/18/players/159943.png,46,52,37,36,63,42,45,49,41,51,44,68,71,39,45,47,63,52,40,63,68,74,76,73,71,62,67,73,82,cb
3487,R. Holding,https://cdn.sofifa.org/18/teams/1.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/228295.png,61,63,40,30,48,27,27,38,55,52,30,62,44,33,60,69,68,69,63,72,73,64,74,74,73,73,75,75,72,cb
3488,D. Moor,https://cdn.sofifa.org/18/teams/111651.png,https://cdn.sofifa.org/flags/95@3x.png,https://cdn.sofifa.org/18/players/164529.png,64,62,39,36,50,38,38,42,49,58,37,70,70,42,64,69,73,68,58,70,69,75,74,67,67,78,76,75,69,cb
3489,Doria,https://cdn.sofifa.org/18/teams/219.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/209329.png,61,61,48,53,75,40,20,41,43,40,29,65,63,21,41,48,63,63,56,68,66,73,68,74,74,69,63,79,74,cb
3490,R. Perez,https://cdn.sofifa.org/18/teams/101101.png,https://cdn.sofifa.org/flags/56@3x.png,https://cdn.sofifa.org/18/players/214191.png,58,59,25,28,53,46,23,35,33,20,38,60,30,29,43,66,64,57,56,50,72,65,72,69,67,65,57,90,79,cb
3491,David Navarro,https://cdn.sofifa.org/18/teams/100831.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/111022.png,31,31,39,39,53,26,43,48,45,39,37,61,56,42,42,41,63,53,45,68,72,70,76,72,68,66,64,82,85,cb
3492,M. Ciani,https://cdn.sofifa.org/18/teams/697.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/137114.png,34,37,33,26,79,44,16,25,24,30,55,51,61,19,33,33,54,46,38,65,69,72,74,79,68,66,37,91,80,cb
3493,N. Gyomber,https://cdn.sofifa.org/18/teams/1848.png,https://cdn.sofifa.org/flags/43@3x.png,https://cdn.sofifa.org/18/players/220061.png,50,52,15,11,38,19,13,23,21,25,20,54,53,15,34,49,68,55,43,65,76,76,74,75,73,62,48,69,72,cb
3494,M. Maloca,https://cdn.sofifa.org/18/teams/165.png,https://cdn.sofifa.org/flags/10@3x.png,https://cdn.sofifa.org/18/players/212130.png,65,68,25,40,40,27,23,52,31,49,36,54,36,13,61,71,66,42,30,66,72,72,70,71,70,76,71,83,80,cb
3495,M. Canini,https://cdn.sofifa.org/18/teams/111434.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/163490.png,68,68,35,24,66,40,24,45,39,35,34,56,56,47,64,62,62,57,39,75,72,68,73,74,70,79,66,80,69,cb
3496,J. Kana-Biyik,https://cdn.sofifa.org/18/teams/101020.png,https://cdn.sofifa.org/flags/103@3x.png,https://cdn.sofifa.org/18/players/183975.png,63,65,35,20,44,38,30,45,48,36,19,62,57,24,52,54,70,59,56,71,67,72,69,71,64,74,69,84,80,cb
3497,J. Bottinelli,https://cdn.sofifa.org/18/teams/111716.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/142762.png,42,49,17,35,52,27,40,41,41,50,38,68,51,43,36,68,71,58,49,70,68,75,73,72,64,79,60,76,81,cb
3498,D. Dumic,https://cdn.sofifa.org/18/teams/1903.png,https://cdn.sofifa.org/flags/8@3x.png,https://cdn.sofifa.org/18/players/193706.png,41,65,31,41,69,41,22,31,47,39,56,65,61,48,52,41,63,54,39,65,65,83,72,73,65,77,76,87,68,cb
3499,S. Ben Youssef,https://cdn.sofifa.org/18/teams/111339.png,https://cdn.sofifa.org/flags/145@3x.png,https://cdn.sofifa.org/18/players/207788.png,62,65,42,38,60,40,30,36,53,40,36,52,49,34,32,45,61,53,50,64,68,67,74,72,71,82,73,86,75,cb
3500,A. Collin,https://cdn.sofifa.org/18/teams/689.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/184664.png,55,51,40,44,56,44,32,49,44,42,46,62,66,40,29,61,64,54,48,64,71,71,70,67,68,85,56,82,90,cb
3501,H. Westermann,https://cdn.sofifa.org/18/teams/256.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/52270.png,34,38,50,47,71,52,62,42,43,58,39,60,69,48,33,31,64,55,46,72,70,82,69,73,63,70,52,88,70,cb
3502,Daniel Ayala,https://cdn.sofifa.org/18/teams/12.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/194334.png,65,63,40,36,45,32,29,37,60,33,32,58,60,41,62,50,67,62,58,68,73,76,74,72,68,68,68,74,72,cb
3503,K. Omeruo,https://cdn.sofifa.org/18/teams/111339.png,https://cdn.sofifa.org/flags/133@3x.png,https://cdn.sofifa.org/18/players/207624.png,67,75,34,22,54,31,27,35,34,47,23,62,60,24,65,56,72,60,53,70,69,71,70,70,69,87,74,82,77,cb
3504,Lyanco,https://cdn.sofifa.org/18/teams/54.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/230672.png,61,67,31,33,43,27,34,47,36,35,27,67,52,33,57,44,61,57,45,62,68,69,71,74,70,71,64,79,75,cb
3505,Unai Garcia,https://cdn.sofifa.org/18/teams/479.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/215569.png,66,74,39,39,57,31,27,42,51,54,47,71,62,26,57,64,61,64,45,63,70,68,70,71,74,86,84,75,70,cb
3506,D. Kolovetsios,https://cdn.sofifa.org/18/teams/1884.png,https://cdn.sofifa.org/flags/22@3x.png,https://cdn.sofifa.org/18/players/240409.png,63,67,38,24,50,33,27,38,50,35,23,65,58,31,59,68,64,56,52,74,75,70,71,76,72,60,75,71,68,cb
3507,S. Vittor,https://cdn.sofifa.org/18/teams/101085.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/219167.png,58,59,61,52,75,69,55,62,51,59,51,73,70,48,52,41,66,70,70,61,65,71,72,72,70,49,73,85,72,cb
3508,R. Thelander,https://cdn.sofifa.org/18/teams/894.png,https://cdn.sofifa.org/flags/13@3x.png,https://cdn.sofifa.org/18/players/209711.png,59,64,39,28,55,24,30,33,44,40,30,61,59,25,48,45,60,54,39,58,68,73,68,74,72,68,62,86,71,cb
3509,Aridane,https://cdn.sofifa.org/18/teams/479.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/189472.png,51,67,35,26,63,31,40,31,47,39,46,55,53,47,68,57,56,55,30,66,67,73,69,70,72,88,82,89,79,cb
3510,E. Mathoho,https://cdn.sofifa.org/18/teams/110929.png,https://cdn.sofifa.org/flags/140@3x.png,https://cdn.sofifa.org/18/players/205857.png,58,67,32,42,56,22,31,37,46,34,22,51,57,25,41,40,62,63,46,66,68,78,74,76,73,72,75,75,66,cb
3511,A. Yahia,https://cdn.sofifa.org/18/teams/1823.png,https://cdn.sofifa.org/flags/145@3x.png,https://cdn.sofifa.org/18/players/53027.png,31,46,31,40,61,47,54,51,57,39,50,62,60,45,59,56,65,52,41,54,65,73,72,73,69,90,35,83,74,cb
3512,E. Goldaniga,https://cdn.sofifa.org/18/teams/111974.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/223524.png,38,64,13,22,55,41,26,34,19,27,33,55,56,29,42,34,67,59,48,62,70,72,74,73,70,80,65,79,72,cb
3513,L. Rose,https://cdn.sofifa.org/18/teams/217.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/199464.png,69,69,36,31,55,39,31,36,46,60,36,65,57,41,66,60,67,64,62,67,69,74,70,72,71,72,79,78,76,cb
3514,Carlos David,https://cdn.sofifa.org/18/teams/110839.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/193064.png,63,60,36,41,46,33,40,45,48,27,25,59,55,27,44,62,61,49,46,62,69,75,71,74,68,69,92,81,80,cb
3515,Diego Galo,https://cdn.sofifa.org/18/teams/666.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/219690.png,55,53,28,23,43,26,34,43,29,36,27,56,39,33,57,56,69,57,42,71,73,74,76,71,68,91,61,74,69,cb
3516,Miltisco Paulino,https://cdn.sofifa.org/18/teams/517.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/230407.png,61,61,34,44,44,51,51,53,42,54,52,62,66,44,62,62,67,56,51,64,66,73,71,73,72,77,56,77,77,cb
3517,Tobias Figueiredo,https://cdn.sofifa.org/18/teams/237.png,https://cdn.sofifa.org/flags/38@3x.png,https://cdn.sofifa.org/18/players/212231.png,55,62,25,22,64,21,22,36,48,34,29,58,57,24,48,48,65,57,54,63,65,71,70,71,68,77,61,83,86,cb
3518,M. Jahfali,https://cdn.sofifa.org/18/teams/605.png,https://cdn.sofifa.org/flags/183@3x.png,https://cdn.sofifa.org/18/players/210182.png,71,70,39,34,42,36,30,36,42,43,24,65,60,32,56,62,72,52,40,67,71,73,68,73,69,78,74,79,78,cb
3519,D. Viera,https://cdn.sofifa.org/18/teams/111706.png,https://cdn.sofifa.org/flags/58@3x.png,https://cdn.sofifa.org/18/players/227550.png,49,54,25,21,38,22,31,45,22,26,23,56,35,28,52,50,78,46,37,65,59,78,80,78,66,39,31,89,70,cb
3520,Gonsalo Brandao,https://cdn.sofifa.org/18/teams/10020.png,https://cdn.sofifa.org/flags/38@3x.png,https://cdn.sofifa.org/18/players/138462.png,52,49,39,25,69,48,36,55,39,61,63,60,52,49,61,64,65,58,53,65,71,70,75,71,68,87,33,77,75,cb
3521,N. Baker,https://cdn.sofifa.org/18/teams/1919.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/189403.png,52,53,23,30,61,19,30,35,27,44,20,41,40,41,46,48,67,39,26,46,71,72,72,73,74,70,64,82,86,cb
3522,L. Lacroix,https://cdn.sofifa.org/18/teams/1819.png,https://cdn.sofifa.org/flags/47@3x.png,https://cdn.sofifa.org/18/players/199895.png,46,38,37,35,63,51,38,55,48,52,50,68,66,55,43,58,63,60,52,67,66,73,74,76,71,62,73,88,62,cb
3523,D. Boyata,https://cdn.sofifa.org/18/teams/78.png,https://cdn.sofifa.org/flags/7@3x.png,https://cdn.sofifa.org/18/players/197837.png,67,73,47,11,56,25,43,13,41,51,13,65,63,34,45,56,60,62,40,61,68,77,67,71,70,84,68,84,75,cb
3524,Albizua,https://cdn.sofifa.org/18/teams/15012.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/213452.png,68,74,38,25,61,23,29,35,45,62,44,45,47,48,67,61,61,57,34,63,67,63,73,76,79,88,72,86,69,cb
3525,V. Wormgoor,https://cdn.sofifa.org/18/teams/919.png,https://cdn.sofifa.org/flags/34@3x.png,https://cdn.sofifa.org/18/players/189899.png,37,39,27,28,64,22,58,51,53,41,62,63,65,58,39,49,67,67,47,63,64,72,68,72,71,71,74,87,78,cb
3526,M. Gulde,https://cdn.sofifa.org/18/teams/25.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/190666.png,68,68,45,36,50,34,54,44,47,47,30,59,58,45,67,65,73,61,48,65,72,67,74,72,73,83,66,71,67,cb
3527,P. Gouano,https://cdn.sofifa.org/18/teams/1816.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/204886.png,68,70,13,20,42,23,23,33,42,32,26,64,67,28,55,45,65,54,42,65,71,67,74,72,73,76,69,77,76,cb
3528,C. Berra,https://cdn.sofifa.org/18/teams/80.png,https://cdn.sofifa.org/flags/42@3x.png,https://cdn.sofifa.org/18/players/156975.png,43,47,37,30,50,24,28,31,49,30,26,57,58,25,36,33,65,54,46,54,73,74,72,72,68,69,78,84,80,cb
3529,Feng Xiaoting,,https://cdn.sofifa.org/flags/155@3x.png,https://cdn.sofifa.org/18/players/175589.png,66,60,60,34,50,40,48,54,67,50,52,70,73,52,53,63,68,68,65,66,72,75,73,72,73,75,71,70,65,cb
3530,J. Spector,https://cdn.sofifa.org/18/teams/112606.png,https://cdn.sofifa.org/flags/95@3x.png,https://cdn.sofifa.org/18/players/162890.png,66,74,55,50,57,56,42,51,53,57,52,68,63,55,69,67,69,68,56,68,73,67,75,69,64,86,78,72,72,cb
3531,Yun Young Sun,https://cdn.sofifa.org/18/teams/2055.png,https://cdn.sofifa.org/flags/167@3x.png,https://cdn.sofifa.org/18/players/199238.png,67,83,31,22,23,55,56,33,63,48,23,63,58,45,81,58,69,49,33,59,72,66,69,71,65,55,84,85,88,cb
3532,V. Gaman,https://cdn.sofifa.org/18/teams/112122.png,https://cdn.sofifa.org/flags/39@3x.png,https://cdn.sofifa.org/18/players/155463.png,66,59,59,47,64,43,43,69,54,44,48,68,63,41,61,64,68,63,51,66,71,75,73,74,72,73,68,71,70,cb
3533,M. Arguinarena,https://cdn.sofifa.org/18/teams/110977.png,https://cdn.sofifa.org/flags/55@3x.png,https://cdn.sofifa.org/18/players/160071.png,61,61,34,44,44,51,51,53,42,54,52,62,66,44,62,62,67,56,51,64,66,73,71,73,72,77,56,77,77,cb
3534,A. Cadavid,https://cdn.sofifa.org/18/teams/101105.png,https://cdn.sofifa.org/flags/56@3x.png,https://cdn.sofifa.org/18/players/209738.png,45,36,25,30,60,35,31,41,30,36,35,61,53,45,30,54,63,46,45,50,69,80,76,72,63,58,53,91,80,cb
3535,Joao Afonso,https://cdn.sofifa.org/18/teams/1867.png,https://cdn.sofifa.org/flags/38@3x.png,https://cdn.sofifa.org/18/players/223818.png,55,46,24,29,45,21,28,46,32,48,30,54,52,27,40,48,65,58,50,65,66,75,73,74,71,73,76,87,74,cb
3536,Estevao Candeira,https://cdn.sofifa.org/18/teams/111043.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/230219.png,46,52,37,36,63,42,45,49,41,51,44,68,71,39,45,47,63,52,40,63,68,74,76,73,71,62,67,73,82,cb
3537,F. Iturrado,https://cdn.sofifa.org/18/teams/111327.png,https://cdn.sofifa.org/flags/55@3x.png,https://cdn.sofifa.org/18/players/160050.png,39,60,39,28,71,47,40,42,28,41,61,56,52,38,43,49,70,51,39,62,72,74,69,73,67,54,60,89,79,cb
3538,F. Erpen,https://cdn.sofifa.org/18/teams/101114.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/142794.png,67,64,23,48,70,60,47,47,51,53,49,62,57,39,62,52,65,63,46,67,68,74,70,70,69,76,67,79,80,cb
3539,P. Karlsson,https://cdn.sofifa.org/18/teams/433.png,https://cdn.sofifa.org/flags/46@3x.png,https://cdn.sofifa.org/18/players/176717.png,73,83,36,35,51,30,32,40,39,36,29,53,46,34,70,67,66,49,42,70,73,60,73,76,79,85,69,78,64,cb
3540,P. Arajuuri,https://cdn.sofifa.org/18/teams/269.png,https://cdn.sofifa.org/flags/17@3x.png,https://cdn.sofifa.org/18/players/198479.png,41,45,29,36,46,24,25,20,32,27,30,60,61,45,40,39,65,47,39,67,69,69,71,71,67,74,74,92,81,cb
3541,M. Kaminski,https://cdn.sofifa.org/18/teams/36.png,https://cdn.sofifa.org/flags/37@3x.png,https://cdn.sofifa.org/18/players/199761.png,68,78,59,53,69,59,44,34,53,55,54,70,71,52,64,61,71,65,59,51,69,68,73,74,72,79,77,72,61,cb
3542,Domingos Duarte,https://cdn.sofifa.org/18/teams/518.png,https://cdn.sofifa.org/flags/38@3x.png,https://cdn.sofifa.org/18/players/234835.png,60,49,31,30,50,31,27,45,30,34,27,54,41,27,44,50,66,55,48,64,72,73,69,77,68,69,73,78,80,cb
3543,L. Desabato,https://cdn.sofifa.org/18/teams/101083.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/142677.png,34,35,25,37,53,26,61,50,43,50,59,76,55,24,30,33,70,43,34,75,73,75,75,71,69,33,34,82,82,cb
3544,B. Nuytinck,https://cdn.sofifa.org/18/teams/55.png,https://cdn.sofifa.org/flags/34@3x.png,https://cdn.sofifa.org/18/players/193091.png,35,36,28,32,62,36,43,47,59,35,34,63,66,47,42,39,68,68,58,69,69,76,68,74,71,63,67,77,74,cb
3545,A. Callens,https://cdn.sofifa.org/18/teams/112828.png,https://cdn.sofifa.org/flags/59@3x.png,https://cdn.sofifa.org/18/players/211522.png,62,53,25,18,73,23,40,43,35,23,26,69,69,28,64,54,70,56,42,63,71,71,69,70,76,74,75,76,77,cb
3546,N. Gorosito,https://cdn.sofifa.org/18/teams/1860.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/234816.png,67,69,55,45,66,48,41,53,54,58,58,67,62,45,59,50,59,61,49,69,70,74,71,70,72,75,63,77,80,cb
3547,V. Forren,https://cdn.sofifa.org/18/teams/417.png,https://cdn.sofifa.org/flags/36@3x.png,https://cdn.sofifa.org/18/players/185394.png,48,35,37,39,74,61,44,60,46,45,66,66,63,68,53,65,70,62,55,73,71,70,71,72,68,80,65,83,75,cb
3548,C. Marshall,https://cdn.sofifa.org/18/teams/111144.png,https://cdn.sofifa.org/flags/95@3x.png,https://cdn.sofifa.org/18/players/152883.png,33,52,28,40,63,52,47,60,53,27,56,68,60,55,35,42,72,58,54,59,69,76,72,69,66,74,70,90,68,cb
3549,T. Phibel,https://cdn.sofifa.org/18/teams/100766.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/179509.png,55,55,33,26,52,54,37,48,51,35,38,55,53,34,33,32,56,51,49,61,69,76,68,71,66,79,39,90,85,cb
3550,E. Cubildas,https://cdn.sofifa.org/18/teams/101097.png,https://cdn.sofifa.org/flags/55@3x.png,https://cdn.sofifa.org/18/players/160054.png,41,61,31,35,51,56,46,71,62,45,38,62,61,37,38,41,64,55,45,66,67,77,74,77,76,55,50,90,45,cb
3551,A. Henriquez,https://cdn.sofifa.org/18/teams/101100.png,https://cdn.sofifa.org/flags/56@3x.png,https://cdn.sofifa.org/18/players/206649.png,30,32,23,30,57,32,23,49,39,17,36,58,65,27,32,30,71,43,27,67,68,79,75,74,65,31,33,93,78,cb
3552,M. Saunier,https://cdn.sofifa.org/18/teams/110832.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/193081.png,38,55,18,16,68,46,47,55,45,38,22,70,71,24,54,60,66,63,50,62,77,64,71,72,76,82,66,74,68,cb
