,overall,ball_control,reactions
4711,71,73,76
4712,71,70,70
4713,71,70,74
4714,71,74,64
4715,71,74,67
4716,71,67,69
4717,71,43,63
4718,71,68,70
4719,71,65,69
4720,71,70,67
4721,71,48,72
4722,71,64,61
4723,71,66,66
4724,71,46,58
4725,71,72,69
4726,71,61,65
4727,71,66,70
4728,71,67,66
4729,71,67,67
4731,71,73,64
4732,71,66,63
4733,71,67,70
4734,71,73,68
4736,71,68,68
4737,71,64,67
4738,71,58,61
4739,71,71,69
4740,71,68,71
4741,71,64,71
4742,71,73,66
4743,71,56,72
4744,71,70,60
4745,71,67,65
4746,71,68,62
4747,71,73,74
4748,71,70,59
4750,71,73,72
4751,71,74,76
4752,71,65,63
4753,71,67,70
4754,71,74,67
4755,71,61,72
4756,71,60,61
4757,71,67,72
4758,71,72,70
4759,71,72,70
4760,71,64,69
4761,71,41,61
4762,71,72,67
4763,71,61,67
4764,71,69,68
4765,71,55,65
4766,71,69,66
4767,71,74,68
4768,71,68,68
4769,71,60,69
4770,71,71,69
4771,71,70,67
4772,71,73,68
4773,71,69,61
4774,71,72,66
4775,71,67,67
4776,71,53,55
4777,71,33,66
4778,71,74,71
4780,71,67,64
4781,71,72,68
4782,71,69,71
4783,71,52,62
4784,71,69,62
4785,71,65,67
4786,71,75,63
4787,71,65,67
4788,71,74,66
4790,71,60,70
4791,71,54,64
4792,71,71,75
4793,71,76,70
4794,71,64,67
4795,71,76,55
4796,71,68,59
4797,71,57,67
4799,71,65,69
4800,71,65,65
4801,71,60,71
4803,71,71,68
4805,71,50,65
4806,71,73,68
4807,71,66,59
4809,71,52,55
4810,71,71,61
4811,71,69,62
4812,71,73,69
4814,71,72,67
4815,71,70,67
4816,71,72,66
4817,71,63,63
4818,71,66,74
4819,71,74,72
4820,71,69,71
4821,71,70,76
4822,71,72,69
4823,71,75,78
4824,71,76,63
4825,70,69,53
4826,70,76,64
4827,70,66,68
4828,70,49,71
4829,70,69,63
4830,70,72,67
4831,70,73,69
4832,70,55,70
4833,70,67,73
4834,70,69,70
4835,70,66,69
4836,70,66,71
4837,70,49,59
4838,70,67,62
4839,70,76,63
4840,70,52,65
4841,70,75,70
4842,70,66,67
4843,70,59,64
4845,70,66,64
4846,70,73,74
4847,70,72,64
4848,70,57,63
4850,70,76,70
4851,70,70,60
4852,70,73,53
4853,70,67,68
4854,70,67,71
4855,70,72,63
4856,70,72,71
4857,70,62,67
4859,70,68,69
4860,70,75,65
4861,70,66,61
4862,70,70,68
4863,70,67,63
4864,70,67,68
4866,70,70,68
4867,70,72,53
4868,70,74,69
4869,70,71,69
4870,70,74,72
4871,70,72,67
4872,70,62,67
4873,70,62,59
4874,70,66,58
4875,70,56,68
4877,70,73,68
4878,70,79,75
4879,70,61,69
4880,70,63,82
4881,70,69,63
4882,70,42,72
4883,70,73,60
4884,70,74,69
4885,70,40,64
4886,70,70,63
4887,70,52,62
4888,70,69,64
4890,70,37,57
4891,70,43,57
4892,70,72,65
4894,70,61,61
4895,70,68,61
4896,70,73,66
4897,70,65,66
4898,70,68,68
4899,70,63,72
4900,70,73,69
4901,70,59,54
4902,70,70,68
4903,70,61,68
4904,70,50,61
4905,70,70,73
4906,70,72,68
4907,70,57,66
4908,70,60,66
4910,70,67,66
4911,70,71,66
4914,70,65,64
4915,70,68,65
4916,70,66,63
4917,70,66,67
4918,70,72,62
4919,70,69,68
4920,70,64,59
4921,70,70,68
4923,70,61,59
4924,70,62,70
4925,70,66,64
4926,70,65,65
4927,70,67,64
4928,70,73,76
4929,70,66,65
4930,70,64,71
4932,70,66,73
4933,70,70,67
4934,70,68,68
4935,70,64,64
4936,70,73,64
4937,70,67,66
4938,70,71,75
4939,70,73,71
4941,70,75,64
4942,70,66,61
4943,70,56,58
4944,70,60,56
4945,70,76,72
4946,70,61,63
4948,70,43,73
4949,70,65,60
4950,70,67,65
4951,70,52,66
4952,70,69,71
4953,70,75,70
4954,70,71,67
4955,70,67,65
4956,70,67,66
4957,70,75,56
4958,70,64,68
4959,70,68,68
4961,70,73,68
4962,70,71,67
4963,70,58,66
4964,70,67,60
4965,70,65,72
4967,70,72,63
4968,70,71,70
4969,70,52,61
4970,70,51,60
4971,70,62,67
4972,70,72,66
4973,70,66,61
4974,70,70,68
4976,70,71,73
4977,70,61,64
4978,70,71,69
4979,70,61,73
4980,70,66,68
4981,70,59,61
4982,70,65,64
4983,70,69,67
4984,70,61,62
4985,70,62,61
4986,70,66,67
4987,70,71,66
4988,70,64,66
4990,70,69,65
4992,70,64,62
4993,70,47,63
4996,70,65,65
4997,70,68,67
4999,70,62,67
5000,70,73,69
5001,70,72,72
5002,70,52,55
5003,70,68,67
5004,70,74,67
5005,70,54,57
5006,70,69,60
5007,70,73,60
5008,70,72,55
5009,70,69,66
5010,70,71,66
5011,70,77,67
5012,70,64,74
5014,70,69,63
5015,70,70,66
5016,70,77,58
5017,70,72,58
5018,70,66,74
5019,70,63,68
5020,70,59,73
5021,70,69,70
5022,70,71,67
5024,70,65,64
5025,70,51,67
5026,70,67,71
5028,70,54,68
5029,70,70,67
5030,70,51,66
5031,70,70,63
5033,70,59,59
5035,70,66,68
5037,70,67,68
5038,70,74,68
5039,70,52,64
5040,70,71,64
5042,70,71,67
5043,70,70,77
5044,70,46,66
5045,70,62,69
5046,70,70,60
5047,70,65,70
5048,70,73,66
5049,70,67,68
5050,70,59,67
5051,70,69,66
5052,70,71,68
5053,70,68,64
5054,70,74,65
5055,70,61,68
5057,70,69,73
5058,70,70,71
5059,70,64,65
5060,70,71,63
5061,70,69,70
5062,70,68,75
5063,70,65,61
5064,70,70,63
5066,70,63,66
5067,70,67,69
5068,70,68,63
5069,70,35,65
5070,70,49,71
5071,70,67,68
5072,70,69,60
5074,70,62,68
5075,70,66,65
5076,70,46,68
5077,70,68,61
5078,70,73,66
5079,70,66,69
5080,70,64,60
5081,70,73,60
5082,70,76,71
5083,70,67,68
5084,70,80,66
5085,70,76,65
5086,70,71,68
5087,70,56,68
5089,70,77,66
5090,70,65,63
5091,70,65,69
5092,70,67,67
5093,70,65,65
5094,70,67,62
5095,70,63,75
5096,70,74,67
5097,70,64,71
5098,70,73,71
5099,70,73,55
5100,70,52,62
5101,70,72,76
5102,70,70,64
5103,70,70,61
5104,70,71,61
5105,70,68,68
5106,70,66,67
5107,70,76,61
5108,70,66,72
5109,70,72,71
5110,70,73,60
5111,70,64,66
5112,70,70,74
5113,70,72,68
5114,70,69,63
5115,70,70,69
5116,70,49,56
5117,70,59,67
5118,70,61,61
5120,70,63,68
5121,70,59,68
5122,70,70,62
5123,70,63,63
5124,70,73,69
5125,70,68,68
5127,70,68,70
5128,70,68,62
5129,70,65,75
5130,70,71,66
5131,70,71,65
5132,70,69,70
5133,70,67,71
5134,70,50,70
5135,70,67,73
5136,70,52,62
5137,70,65,65
5138,70,71,74
5139,70,70,68
5140,70,71,73
5141,70,61,73
5142,70,74,63
5143,70,70,66
5144,70,70,65
5145,70,68,73
5146,70,71,73
5147,70,69,66
5148,70,70,64
5149,70,62,67
5150,70,68,65
5151,70,68,66
5152,70,68,67
5153,70,74,58
5154,70,59,66
5155,70,70,72
5156,70,69,68
5157,70,65,68
5158,70,52,66
5159,70,74,71
5160,70,64,68
5161,70,75,59
5162,70,68,72
5163,70,71,54
5164,70,66,71
5165,70,74,75
5167,70,72,65
5168,70,70,68
5169,70,76,71
5170,70,70,62
5171,70,57,76
5172,70,71,67
5173,70,75,64
5174,70,65,74
5175,70,71,62
5176,70,59,65
5177,70,72,67
5178,70,73,63
5179,70,57,62
5180,70,66,66
5181,70,70,69
5182,70,72,61
5183,70,70,69
5184,70,60,71
5185,70,75,72
5186,70,65,62
5187,70,61,62
5188,70,68,64
5189,70,70,74
5190,70,75,54
5191,70,69,67
5193,70,42,62
5194,70,70,70
5195,70,70,73
5196,70,54,56
5197,70,69,69
5198,70,70,70
5199,70,67,66
5200,70,51,62
5201,70,72,65
5202,70,71,68
5204,70,65,62
5205,70,63,58
5206,70,73,63
5207,70,73,66
5208,70,69,67
5209,70,73,68
5210,70,62,64
5211,70,73,65
5212,70,71,68
5213,70,71,63
5214,70,63,75
5216,70,52,67
5217,70,69,68
5218,70,71,66
5219,70,65,65
5220,70,71,67
5221,70,61,64
5223,70,67,65
5224,70,61,59
5225,70,51,62
5226,70,71,62
5227,70,68,66
5228,70,72,68
5229,70,72,68
5230,70,68,66
5231,70,67,56
5233,70,67,66
5234,70,75,66
5235,70,73,65
5236,70,72,62
5237,70,70,76
5238,70,68,66
5239,70,57,61
5240,70,77,66
5241,70,48,62
5242,70,71,72
5243,70,64,70
5244,70,72,63
5245,70,73,72
5246,70,61,66
5247,70,68,80
5248,70,71,70
5249,70,74,64
5250,70,59,65
5251,70,67,67
5252,70,63,67
5253,70,70,70
5254,70,76,63
5255,70,54,64
5256,70,70,65
5257,70,69,71
5258,70,68,63
5259,70,74,60
5260,70,67,71
5261,70,66,69
5262,70,70,66
5263,70,72,68
5264,70,72,60
5265,70,35,66
5267,70,50,62
5268,70,71,70
5269,70,68,71
5270,70,68,72
5271,70,66,69
5272,70,61,60
5273,70,75,68
5274,70,54,72
5275,70,73,72
5276,70,71,67
5277,70,65,65
5281,70,68,63
5283,70,67,72
5284,70,58,65
5285,70,68,72
5286,70,72,74
5288,70,62,67
5289,70,70,64
5290,70,68,61
5291,70,69,71
5292,70,68,68
5293,70,63,59
5294,70,74,74
5295,70,72,60
5296,70,53,65
5297,70,71,66
5298,70,75,55
5299,70,61,70
5300,70,72,67
5301,70,64,64
5302,70,74,62
5303,70,39,69
5304,70,30,63
5306,70,69,65
5307,70,65,68
5308,70,72,75
5309,70,69,66
5310,70,69,58
5311,70,70,64
5312,70,73,68
5313,70,74,65
5314,70,71,70
5315,70,67,70
5318,70,68,69
5319,70,73,76
5320,70,68,72
5322,70,74,61
5323,70,70,68
5324,70,55,60
5325,70,70,63
5326,70,66,68
5327,70,68,67
5328,70,58,68
5329,70,67,70
5331,70,66,67
5332,70,68,70
5333,70,64,67
5334,70,69,68
5335,70,68,65
5336,70,70,69
5337,70,65,67
5339,70,61,66
5340,70,51,70
5341,70,65,68
5342,70,72,72
5343,70,69,63
5344,70,69,67
5345,70,68,63
5346,70,72,63
5347,70,51,64
5348,70,68,68
5349,70,68,64
5351,70,59,63
5352,70,66,65
5353,70,69,67
5354,70,73,55
5355,70,82,64
5356,70,73,66
5357,70,67,58
5358,70,70,70
5359,70,68,66
5360,70,71,62
5361,70,57,66
5362,70,72,66
5363,70,57,64
5364,70,75,65
5365,70,69,68
5366,70,67,64
5367,70,65,74
5368,70,68,68
5369,70,72,62
5371,70,74,60
5372,70,66,67
5373,70,68,66
5374,70,44,60
5375,70,67,66
5376,70,73,62
5377,70,76,64
5378,70,56,61
5379,70,69,71
5380,70,72,65
5381,70,75,68
5382,70,55,62
5383,70,68,63
5384,70,70,60
5385,70,71,72
5386,70,71,78
5387,70,69,72
5388,70,64,62
5390,70,74,56
5391,70,74,65
5392,70,75,67
5393,70,63,67
5394,70,65,66
5395,70,77,58
5396,70,52,66
5397,70,69,68
5398,70,66,66
5399,70,67,69
5400,70,76,60
5401,70,65,62
5402,70,65,75
5403,70,72,60
5404,70,70,68
5406,70,68,67
5407,70,65,63
5408,70,71,70
5409,70,63,64
5410,70,74,69
5411,70,68,66
5412,70,51,66
5413,70,70,70
5414,70,72,56
5415,70,67,66
5416,70,72,72
5418,70,62,67
5419,70,56,56
5420,70,68,64
5421,70,65,64
5422,70,69,69
5423,70,66,63
5424,70,70,62
5425,70,71,70
5426,70,65,66
5427,70,66,66
5428,70,68,59
5430,70,72,67
5431,70,68,70
5432,70,69,69
5433,70,70,68
5435,70,65,63
5436,70,68,68
5438,70,59,69
5439,70,67,58
5440,70,68,62
5441,70,67,64
5442,70,72,57
5443,70,62,61
5444,70,69,64
5445,70,70,62
5446,70,69,66
5447,70,71,67
5448,70,55,60
5449,70,72,66
5450,70,73,65
5451,70,64,62
5452,70,67,68
5453,70,59,67
5454,70,68,64
5455,70,73,64
5456,70,69,66
5457,70,68,71
5458,70,67,69
5459,70,61,84
5460,70,48,62
5461,70,68,64
5462,70,71,72
5463,70,65,67
5464,70,67,66
5466,70,74,68
5467,70,70,68
5469,70,60,67
5470,70,64,74
5471,70,64,57
5473,70,78,60
5475,70,67,69
5476,70,71,65
5477,70,64,68
5479,70,51,64
5480,70,49,60
5481,70,70,65
5482,70,74,65
5483,70,54,64
5484,70,66,64
5485,70,70,67
5486,70,68,65
5488,70,58,60
5489,70,65,68
5490,70,72,66
5491,70,68,64
5492,70,65,67
5493,70,60,58
5495,70,74,65
5496,70,67,70
5497,70,50,68
5498,70,68,69
5499,70,42,56
5500,70,62,55
5501,70,75,70
5502,70,67,57
5503,70,73,62
5504,70,63,62
5506,70,64,66
5507,70,64,71
5508,70,70,66
5509,70,68,66
5510,70,72,65
5511,70,72,57
5512,70,70,62
5515,70,52,68
5516,70,53,66
5517,70,76,72
5518,70,67,66
5519,70,73,71
5520,70,76,72
5521,70,67,64
5522,70,51,68
5523,70,49,62
5524,70,67,65
5525,70,53,75
5526,70,57,65
5527,70,58,70
5528,70,73,66
5529,70,65,57
5530,70,65,66
5531,70,56,58
5532,70,62,66
5533,70,54,68
5534,70,71,68
5535,70,61,66
5536,70,70,70
5537,70,71,58
5538,70,68,75
5539,70,71,67
5540,70,66,67
5541,70,73,70
5542,70,64,66
5543,70,68,61
5544,70,63,67
5545,70,66,66
5546,70,70,69
5547,70,63,70
5549,70,74,58
5550,70,63,69
5551,70,49,65
5553,70,70,70
5554,70,66,68
5555,70,71,65
5556,70,44,63
5557,70,66,62
5558,70,55,60
5559,70,73,68
5560,70,72,64
5561,70,70,67
5562,70,49,62
5563,70,68,63
5564,70,72,63
5565,70,58,68
5567,70,73,66
5569,70,70,62
5570,70,64,67
5572,70,72,68
5573,70,72,71
5574,70,74,64
5575,70,70,76
5576,70,68,75
5577,70,66,64
5579,70,67,64
5580,70,66,76
5581,70,53,63
5582,70,70,71
5583,70,68,78
5585,70,72,65
5586,70,67,67
5587,70,71,62
5588,70,80,68
5589,70,68,66
5590,70,72,67
5591,70,68,71
5592,70,67,64
5593,70,74,71
5594,70,66,67
5595,70,70,68
5596,70,53,66
5597,70,75,74
5598,70,71,66
5599,70,68,70
5600,70,61,64
5601,70,67,72
5602,70,58,74
5603,70,71,67
5604,70,68,66
5605,70,67,65
5606,70,50,67
5607,70,73,66
5609,70,50,67
5610,70,67,64
5611,70,67,66
5612,70,71,70
5613,70,61,62
5614,70,35,66
5615,70,58,66
5616,70,74,69
5617,70,76,61
5618,70,73,71
5619,70,70,66
5620,70,70,60
5621,70,64,66
5622,70,70,68
5623,70,69,66
5624,70,73,66
5625,70,62,67
5626,70,67,66
5627,70,72,73
5628,70,67,64
5629,70,60,61
5630,70,64,71
5631,70,68,66
5632,70,68,61
5633,70,71,57
5634,70,67,68
5635,70,53,66
5636,70,73,71
5639,70,57,64
5640,70,71,63
5641,70,55,64
5642,70,77,66
5643,70,62,63
5644,70,68,60
5645,70,70,77
5647,70,69,70
5648,70,68,66
5649,70,42,74
5650,70,65,66
5651,70,76,55
5652,70,68,63
5654,70,66,64
5655,70,70,64
5656,70,68,72
5657,70,68,62
5659,70,80,64
5660,70,70,66
5661,70,75,64
5662,70,58,62
5663,70,66,73
5664,70,60,76
5665,70,68,61
5666,70,64,65
5667,70,75,71
5668,70,73,69
5669,70,80,69
5670,70,59,73
5671,70,45,65
5672,70,74,60
5673,70,61,71
5674,70,74,67
5675,70,74,66
5676,70,70,64
5677,70,74,73
5678,70,66,57
5679,70,55,63
5681,70,65,70
5682,70,73,61
5684,70,72,62
5685,70,69,68
5686,70,51,67
5687,70,58,65
5689,70,74,65
5690,70,71,72
5691,70,63,64
5692,70,65,66
5693,70,73,70
5694,70,66,60
5695,70,51,72
5696,70,76,60
5697,70,69,73
5698,70,72,69
5699,70,59,66
5700,70,73,63
5701,70,76,63
5702,70,68,71
5703,70,67,68
5704,70,43,65
5706,70,63,62
5707,70,73,63
5708,70,68,72
5709,70,63,69
5710,70,63,63
5711,70,70,64
5712,70,73,69
5713,70,60,65
5714,70,72,65
5715,70,69,58
5716,70,70,59
5717,70,67,65
5718,70,73,69
5719,70,67,63
5720,70,66,78
5722,70,71,59
5723,70,74,67
5724,70,68,75
5726,70,62,67
5727,69,70,66
5728,69,68,65
5729,69,63,63
5730,69,60,54
5731,69,72,66
5732,69,67,64
5733,69,74,58
5734,69,70,62
5735,69,67,67
5736,69,70,65
5737,69,69,66
5738,69,65,67
5739,69,69,66
5740,69,67,69
5741,69,56,65
5742,69,66,63
5743,69,71,58
5744,69,47,57
5745,69,70,60
5746,69,70,69
5747,69,64,64
5748,69,64,66
5749,69,66,64
5750,69,55,58
5751,69,72,57
5752,69,64,59
5753,69,68,71
5754,69,70,68
5755,69,67,63
5756,69,74,67
5757,69,76,76
5758,69,69,62
5759,69,74,68
5762,69,70,64
5763,69,66,53
5764,69,64,72
5765,69,66,68
5766,69,71,70
5767,69,70,59
5768,69,61,67
5769,69,50,68
5770,69,62,69
5771,69,47,71
5772,69,63,62
5773,69,58,63
5774,69,55,61
5776,69,70,68
5778,69,72,60
5779,69,56,64
5780,69,65,62
5781,69,64,62
5782,69,64,63
5783,69,70,65
5784,69,68,67
5785,69,56,70
5786,69,66,69
5788,69,69,67
5789,69,58,59
5790,69,67,65
5791,69,72,60
5792,69,73,66
5793,69,73,63
5794,69,69,70
5795,69,68,52
5797,69,64,68
5798,69,63,71
5799,69,65,64
5800,69,51,64
5801,69,72,66
5802,69,67,65
5803,69,52,67
5804,69,66,69
5805,69,69,59
5806,69,65,66
5807,69,73,66
5808,69,60,63
5809,69,70,63
5810,69,55,63
5811,69,70,70
5812,69,58,67
5813,69,59,69
5815,69,49,67
5817,69,68,68
5818,69,45,65
5820,69,72,71
5821,69,39,63
5822,69,48,53
5823,69,68,63
5824,69,72,58
5825,69,50,64
5826,69,74,66
5827,69,72,68
5828,69,68,60
5829,69,53,60
5831,69,70,65
5833,69,74,64
5834,69,60,53
5835,69,70,68
5836,69,59,58
5837,69,74,63
5838,69,50,63
5839,69,65,69
5840,69,70,65
5841,69,73,64
5842,69,68,59
5844,69,55,62
5845,69,62,66
5846,69,48,64
5847,69,68,71
5848,69,66,70
5849,69,69,71
5850,69,68,63
5851,69,62,64
5852,69,70,66
5853,69,63,64
5854,69,65,68
5855,69,51,68
5856,69,54,57
5857,69,66,64
5858,69,69,69
5859,69,29,61
5860,69,70,65
5861,69,66,59
5862,69,73,62
5863,69,66,66
5864,69,70,64
5865,69,75,68
5866,69,68,63
5868,69,67,66
5869,69,61,59
5870,69,64,64
5871,69,67,72
5872,69,69,67
5873,69,69,65
5874,69,71,63
5875,69,67,66
5876,69,65,73
5878,69,51,62
5879,69,59,70
5880,69,74,65
5881,69,62,69
5883,69,69,63
5884,69,64,58
5885,69,68,69
5886,69,74,71
5887,69,69,60
5888,69,64,63
5889,69,69,64
5890,69,51,63
5892,69,70,67
5894,69,65,66
5895,69,67,71
5896,69,52,63
5897,69,50,59
5898,69,46,65
5899,69,71,67
5900,69,73,68
5901,69,54,65
5902,69,70,55
5903,69,68,57
5904,69,67,66
5905,69,70,64
5906,69,67,71
5907,69,64,68
5908,69,70,64
5909,69,65,65
5910,69,64,55
5911,69,74,64
5912,69,67,64
5913,69,64,67
5914,69,62,65
5915,69,64,68
5916,69,70,67
5917,69,64,73
5918,69,68,64
5919,69,68,63
5920,69,72,67
5921,69,50,64
5922,69,71,60
5923,69,66,69
5925,69,64,66
5926,69,53,69
5927,69,62,68
5928,69,68,70
5929,69,72,62
5930,69,69,57
5931,69,73,65
5932,69,70,64
5933,69,40,52
5934,69,69,66
5935,69,72,68
5936,69,65,66
5937,69,53,55
5938,69,65,62
5939,69,67,64
5940,69,68,74
5941,69,75,75
5942,69,70,54
5943,69,66,66
5944,69,69,69
5945,69,64,66
5946,69,72,63
5947,69,71,65
5948,69,66,71
5949,69,56,67
5950,69,66,62
5951,69,68,66
5952,69,68,72
5953,69,59,64
5954,69,67,70
5955,69,75,65
5956,69,55,64
5957,69,72,64
5958,69,69,71
5959,69,74,58
5960,69,69,65
5961,69,69,74
5964,69,66,62
5965,69,69,67
5966,69,72,67
5967,69,72,64
5968,69,66,64
5969,69,58,64
5970,69,61,64
5971,69,76,68
5972,69,73,64
5973,69,70,61
5974,69,53,65
5975,69,67,62
5976,69,70,66
5977,69,67,70
5978,69,66,65
5980,69,65,57
5981,69,70,71
5983,69,56,74
5984,69,74,53
5985,69,56,66
5986,69,65,71
5987,69,68,60
5988,69,70,67
5990,69,71,65
5991,69,34,58
5992,69,67,59
5993,69,71,72
5994,69,68,68
5995,69,50,51
5996,69,65,55
5997,69,57,66
5998,69,75,70
6000,69,71,61
6001,69,60,64
6002,69,58,70
6003,69,70,66
6004,69,71,65
6005,69,63,66
6006,69,69,56
6008,69,69,64
6010,69,52,61
6011,69,73,63
6012,69,49,61
6015,69,69,66
6016,69,64,72
6017,69,66,72
6018,69,70,68
6019,69,48,64
6020,69,71,60
6021,69,64,64
6023,69,64,72
6024,69,71,72
6025,69,67,67
6026,69,70,65
6027,69,66,70
6028,69,66,59
6029,69,66,64
6030,69,66,68
6031,69,65,64
6032,69,67,64
6034,69,70,62
6035,69,72,67
6036,69,69,68
6037,69,63,74
6038,69,66,67
6039,69,32,66
6040,69,72,53
6041,69,67,63
6042,69,73,68
6043,69,66,69
6044,69,62,64
6047,69,68,65
6049,69,71,67
6051,69,71,68
6052,69,51,70
6053,69,70,61
6054,69,74,76
6055,69,67,61
6056,69,60,62
6057,69,69,64
6058,69,70,68
6059,69,60,71
6060,69,70,60
6061,69,67,59
6062,69,63,63
6063,69,54,58
6064,69,56,63
6065,69,70,70
6066,69,59,64
6067,69,53,54
6068,69,69,68
6070,69,67,68
6071,69,68,62
6072,69,67,70
6073,69,66,64
6074,69,63,63
6075,69,70,74
6076,69,70,60
6077,69,71,68
6078,69,66,66
6079,69,65,67
6080,69,68,67
6081,69,71,60
6082,69,60,68
6083,69,67,74
6084,69,67,65
6085,69,64,69
6086,69,64,70
6087,69,53,71
6088,69,65,69
6089,69,67,67
6090,69,65,67
6091,69,76,64
6092,69,49,64
6093,69,59,60
6094,69,61,68
6095,69,65,74
6096,69,62,66
6098,69,66,61
6099,69,67,63
6100,69,58,64
6101,69,63,60
6102,69,70,67
6103,69,65,68
6104,69,50,63
6106,69,70,62
6107,69,69,74
6108,69,75,61
6109,69,75,78
6110,69,60,60
6111,69,71,70
6113,69,63,61
6114,69,66,67
6116,69,68,72
6117,69,72,71
6118,69,65,62
6119,69,46,72
6120,69,67,65
6121,69,56,57
6122,69,70,65
6123,69,65,65
6124,69,68,68
6125,69,62,60
6126,69,65,65
6127,69,68,66
6128,69,65,61
6129,69,65,66
6130,69,63,62
6131,69,66,72
6132,69,64,60
6133,69,70,68
6134,69,63,60
6135,69,75,54
6136,69,71,65
6137,69,70,59
6139,69,68,60
6140,69,67,64
6141,69,67,59
6142,69,43,68
6144,69,69,64
6145,69,70,61
6146,69,64,64
6147,69,68,65
6148,69,59,59
6149,69,67,69
6150,69,73,70
6151,69,67,68
6152,69,66,65
6153,69,70,53
6155,69,66,67
6156,69,73,57
6157,69,51,59
6158,69,72,63
6159,69,57,68
6160,69,70,66
6161,69,64,69
6162,69,69,65
6163,69,68,72
6165,69,65,65
6166,69,68,70
6167,69,66,67
6168,69,67,65
6169,69,66,63
6170,69,71,59
6171,69,76,58
6172,69,70,68
6173,69,72,65
6174,69,71,68
6175,69,32,64
6176,69,73,66
6177,69,50,57
6178,69,74,69
6179,69,69,58
6180,69,62,65
6181,69,68,68
6182,69,65,62
6183,69,67,72
6184,69,68,73
6185,69,68,59
6186,69,71,59
6187,69,69,67
6188,69,66,62
6189,69,72,66
6190,69,57,58
6191,69,75,62
6192,69,66,69
6193,69,66,67
6194,69,68,69
6195,69,62,72
6196,69,69,69
6197,69,53,62
6198,69,68,61
6199,69,63,63
6200,69,74,69
6201,69,57,66
6202,69,66,59
6203,69,75,71
6204,69,73,69
6205,69,72,64
6206,69,71,65
6207,69,71,69
6208,69,67,68
6209,69,68,62
6211,69,62,65
6212,69,69,71
6213,69,58,71
6214,69,58,66
6215,69,68,64
6216,69,68,68
6217,69,48,63
6218,69,68,62
6219,69,63,61
6220,69,62,71
6222,69,60,69
6223,69,75,57
6224,69,65,71
6225,69,51,67
6226,69,74,62
6227,69,64,65
6228,69,70,70
6229,69,69,66
6230,69,75,67
6231,69,56,64
6232,69,70,76
6233,69,67,63
6234,69,68,68
6235,69,74,62
6236,69,69,63
6237,69,70,64
6238,69,69,69
6239,69,68,63
6240,69,61,67
6241,69,59,64
6243,69,68,65
6244,69,64,66
6245,69,64,65
6246,69,52,57
6247,69,64,68
6248,69,70,70
6249,69,68,60
6250,69,70,67
6251,69,68,59
6252,69,65,56
6253,69,68,66
6254,69,73,64
6255,69,61,52
6256,69,72,70
6257,69,70,69
6258,69,70,65
6259,69,71,69
6260,69,69,65
6261,69,66,59
6262,69,68,64
6263,69,73,65
6264,69,62,64
6265,69,67,57
6266,69,71,64
6267,69,62,65
6268,69,68,68
6269,69,66,65
6270,69,71,71
6271,69,64,70
6272,69,71,70
6273,69,67,59
6274,69,60,65
6275,69,68,72
6277,69,66,73
6278,69,74,58
6279,69,64,62
6280,69,70,69
6281,69,70,64
6282,69,68,62
6283,69,75,66
6284,69,69,69
6285,69,71,59
6287,69,76,76
6288,69,71,67
6289,69,67,67
6290,69,78,67
6291,69,64,72
6292,69,68,62
6293,69,70,71
6294,69,70,70
6296,69,70,66
6297,69,68,63
6298,69,65,72
6299,69,56,59
6300,69,69,68
6302,69,72,63
6303,69,74,63
6304,69,66,61
6305,69,68,74
6306,69,79,56
6307,69,72,65
6308,69,67,65
6309,69,68,61
6310,69,69,62
6311,69,71,68
6312,69,70,67
6313,69,60,60
6314,69,71,71
6315,69,64,64
6316,69,70,74
6317,69,58,66
6318,69,72,69
6319,69,45,60
6320,69,63,71
6321,69,72,67
6322,69,68,61
6323,69,66,67
6324,69,72,70
6325,69,66,58
6326,69,71,56
6327,69,63,64
6328,69,56,60
6329,69,68,63
6330,69,68,64
6331,69,67,62
6332,69,68,72
6333,69,63,65
6334,69,60,63
6336,69,68,66
6338,69,66,60
6339,69,70,63
6341,69,66,64
6343,69,65,59
6345,69,67,67
6346,69,50,51
6347,69,63,66
6349,69,52,62
6351,69,70,57
6352,69,69,62
6353,69,70,56
6354,69,65,70
6356,69,64,66
6357,69,65,66
6358,69,73,69
6359,69,67,69
6360,69,67,67
6361,69,74,67
6362,69,56,60
6363,69,58,70
6364,69,50,64
6365,69,70,69
6366,69,72,68
6367,69,60,52
6368,69,53,69
6370,69,64,70
6371,69,60,55
6372,69,64,65
6373,69,69,65
6375,69,67,64
6376,69,63,59
6377,69,58,73
6378,69,58,67
6379,69,65,64
6380,69,59,65
6381,69,70,68
6382,69,71,68
6383,69,65,66
6384,69,61,67
6385,69,70,64
6386,69,72,67
6387,69,68,63
6388,69,56,58
6389,69,53,57
6390,69,68,70
6391,69,66,69
6392,69,53,66
6393,69,69,70
6394,69,75,64
6395,69,55,71
6396,69,71,73
6397,69,74,60
6398,69,40,55
6399,69,70,65
6402,69,69,65
6403,69,64,71
6404,69,63,64
6405,69,57,63
6406,69,69,70
6407,69,64,72
6408,69,56,52
6409,69,70,64
6410,69,68,68
6411,69,69,61
6412,69,57,58
6413,69,67,72
6415,69,67,63
6416,69,51,72
6417,69,73,67
6418,69,66,63
6419,69,70,63
6420,69,65,60
6421,69,51,69
6422,69,72,68
6423,69,71,68
6424,69,70,59
6425,69,70,64
6426,69,50,53
6428,69,63,67
